     17     32       0.01      c/a = 0.8534   delta = a^2/4(3c)^2 eta = 5/6-2delta nu = 1/3+delta
  0.0       0.5      -0.5         0.0       0.371474 -0.371474  20       Fp       fpk      K
  0.0       0.371474 -0.371474    0.0       0.0       0.0       40       K        Lambda   Gamma
  0.0       0.0       0.0         0.185737  0.185737 -0.371474  40       Gamma    Sigma    M
  0.185737  0.185737 -0.371474    0.0       0.371474 -0.371474  20       M        T        K
  0.0       0.0       0.0         0.5       0.5       0.5       10       Gamma    Lambda   Z
  0.5       0.5       0.5         0.628526  0.242949  0.628526  10       Z        zp       P1
  0.628526  0.242949  0.628526    0.5       0.0       0.5       10       P1       pf       F
  0.5       0.0       0.5         0.371474 -0.242949  0.371474  10       F        fp       P2
  0.371474 -0.242949  0.371474   -0.371474 -0.757051 -0.371474  10       P2       L1       P
 -0.371474 -0.757051 -0.371474   -0.5      -0.5      -0.5       20       P        pz       Z
  0.242949  0.5       0.242949    0.0       0.5       0.0       20       B1       bl       L
  0.0       0.5       0.0         0.0       0.0       0.0       20       L        lg       Gamma
  0.0       0.0       0.0         0.5       0.5       0.0       20       Gamma    gf       F
  0.5       0.5       0.0         0.371474  0.628526  0.0       10       F        fy       Q
  0.371474  0.628526  0.0         0.0       0.5       0.0       20       Q        q        L
  0.0       0.5       0.0         0.5       0.628526  0.242949  20       L        lb       B
  0.5       0.628526  0.242949    0.5       0.5       0.5       20       B        bz       Z
